Date 27.05.23, Time 20:58:38, Uptime:  20:58:38 up 53 min,  4 users,  load average: 0.07, 0.03, 0.00, Load average:  0.07, 0.03, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 51.6°C, CPU_load: 4.1%
Date 27.05.23, Time 20:59:39, Uptime:  20:59:39 up 54 min,  4 users,  load average: 0.02, 0.02, 0.00, Load average:  0.02, 0.02, 0.00, GPU_temp=temp=50.6'C, CPU_temp: 50.6°C, CPU_load: 7.9%
Date 27.05.23, Time 21:00:39, Uptime:  21:00:39 up 55 min,  4 users,  load average: 0.01, 0.01, 0.00, Load average:  0.01, 0.01, 0.00, GPU_temp=temp=52.1'C, CPU_temp: 52.1°C, CPU_load: 4.1%
Date 27.05.23, Time 21:01:39, Uptime:  21:01:39 up 56 min,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 51.6°C, CPU_load: 5.4%
Date 27.05.23, Time 21:02:39, Uptime:  21:02:39 up 57 min,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 5.5%
Date 27.05.23, Time 21:03:40, Uptime:  21:03:40 up 58 min,  4 users,  load average: 0.04, 0.01, 0.00, Load average:  0.04, 0.01, 0.00, GPU_temp=temp=52.1'C, CPU_temp: 52.1°C, CPU_load: 2.9%
Date 27.05.23, Time 21:04:40, Uptime:  21:04:40 up 59 min,  4 users,  load average: 0.01, 0.01, 0.00, Load average:  0.01, 0.01, 0.00, GPU_temp=temp=50.6'C, CPU_temp: 50.6°C, CPU_load: 4.1%
Date 27.05.23, Time 21:05:40, Uptime:  21:05:40 up  1:00,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=50.6'C, CPU_temp: 50.6°C, CPU_load: 5.2%
Date 27.05.23, Time 21:06:41, Uptime:  21:06:41 up  1:01,  4 users,  load average: 0.03, 0.01, 0.00, Load average:  0.03, 0.01, 0.00, GPU_temp=temp=50.1'C, CPU_temp: 50.1°C, CPU_load: 6.5%
Date 27.05.23, Time 21:07:41, Uptime:  21:07:41 up  1:02,  4 users,  load average: 0.01, 0.01, 0.00, Load average:  0.01, 0.01, 0.00, GPU_temp=temp=50.6'C, CPU_temp: 50.6°C, CPU_load: 6.4%
Date 27.05.23, Time 21:08:41, Uptime:  21:08:41 up  1:03,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 6.3%
Date 27.05.23, Time 21:09:41, Uptime:  21:09:41 up  1:04,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 50.1°C, CPU_load: 6.5%
Date 27.05.23, Time 21:10:42, Uptime:  21:10:42 up  1:05,  4 users,  load average: 0.03, 0.01, 0.00, Load average:  0.03, 0.01, 0.00, GPU_temp=temp=50.1'C, CPU_temp: 50.1°C, CPU_load: 6.4%
Date 27.05.23, Time 21:11:42, Uptime:  21:11:42 up  1:06,  4 users,  load average: 0.01, 0.00, 0.00, Load average:  0.01, 0.00, 0.00, GPU_temp=temp=50.6'C, CPU_temp: 50.6°C, CPU_load: 5.2%
Date 27.05.23, Time 21:12:42, Uptime:  21:12:42 up  1:07,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 6.4%
Date 27.05.23, Time 21:13:43, Uptime:  21:13:43 up  1:08,  4 users,  load average: 0.04, 0.01, 0.00, Load average:  0.04, 0.01, 0.00, GPU_temp=temp=50.6'C, CPU_temp: 50.6°C, CPU_load: 5.3%
Date 27.05.23, Time 21:14:43, Uptime:  21:14:43 up  1:09,  4 users,  load average: 0.05, 0.02, 0.00, Load average:  0.05, 0.02, 0.00, GPU_temp=temp=50.6'C, CPU_temp: 50.6°C, CPU_load: 4.1%
Date 27.05.23, Time 21:15:43, Uptime:  21:15:43 up  1:10,  4 users,  load average: 0.02, 0.02, 0.00, Load average:  0.02, 0.02, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 5.3%
Date 27.05.23, Time 21:16:44, Uptime:  21:16:44 up  1:11,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=50.6'C, CPU_temp: 50.6°C, CPU_load: 4.1%
Date 27.05.23, Time 21:17:44, Uptime:  21:17:44 up  1:13,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=50.6'C, CPU_temp: 51.6°C, CPU_load: 4.1%
Date 27.05.23, Time 21:18:44, Uptime:  21:18:44 up  1:14,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 50.6°C, CPU_load: 2.9%
Date 27.05.23, Time 21:19:44, Uptime:  21:19:44 up  1:15,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=50.1'C, CPU_temp: 50.1°C, CPU_load: 5.5%
Date 27.05.23, Time 21:20:45, Uptime:  21:20:45 up  1:16,  4 users,  load average: 0.05, 0.01, 0.00, Load average:  0.05, 0.01, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 52.1°C, CPU_load: 5.5%
Date 27.05.23, Time 21:21:45, Uptime:  21:21:45 up  1:17,  4 users,  load average: 0.02, 0.01, 0.00, Load average:  0.02, 0.01, 0.00, GPU_temp=temp=52.1'C, CPU_temp: 52.1°C, CPU_load: 6.4%
Date 27.05.23, Time 21:22:45, Uptime:  21:22:45 up  1:18,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 51.6°C, CPU_load: 5.2%
Date 27.05.23, Time 21:23:46, Uptime:  21:23:46 up  1:19,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=52.1'C, CPU_temp: 52.1°C, CPU_load: 5.3%
Date 27.05.23, Time 21:24:46, Uptime:  21:24:46 up  1:20,  4 users,  load average: 0.04, 0.01, 0.00, Load average:  0.04, 0.01, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 51.6°C, CPU_load: 5.5%
Date 27.05.23, Time 21:25:46, Uptime:  21:25:46 up  1:21,  4 users,  load average: 0.01, 0.01, 0.00, Load average:  0.01, 0.01, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 51.6°C, CPU_load: 5.5%
